run_id,task_id,attempt,provider,requested_model,resolved,score,hermes_completed,grader_completed,artifact_verified,artifact_error,input_tokens,cache_read_tokens,cache_write_tokens,output_tokens,reasoning_tokens,total_tokens,api_calls,sandboxed_tool_invocations,wall_seconds,actual_cost_usd,actual_cost_status,provider_reported_estimated_cost_usd,api_equivalent_cost_usd
campaign-20260814-v4__API-04__a1__openai-codex__gpt-daybreak-blue-latest,API-04,1,openai-codex,gpt-daybreak-blue-latest,True,1.0,True,True,True,,23337,254000,0,10709,3910,288046,18,63,277.07460442045704,,included,,0.564955
campaign-20260814-v4__API-04__a1__opencode-go__deepseek-v4-flash,API-04,1,opencode-go,deepseek-v4-flash,True,1.0,True,True,True,,18234,879232,0,35695,22688,933161,26,72,394.221361189615,,unknown,,0.0150092096
campaign-20260814-v4__API-04__a1__opencode-go__deepseek-v4-pro,API-04,1,opencode-go,deepseek-v4-pro,False,0.5,True,True,True,,,,,,,,4,17,389.2492908677086,,,,0.0
campaign-20260814-v4__API-04__a2__openai-codex__gpt-5.6-luna,API-04,2,openai-codex,gpt-5.6-luna,True,1.0,True,True,True,,46374,165888,0,8430,3562,220692,16,53,230.16286482615396,,included,,0.02270856
campaign-20260814-v4__API-04__a2__openai-codex__gpt-5.6-sol,API-04,2,openai-codex,gpt-5.6-sol,True,1.0,True,True,True,,40413,129536,0,8125,2700,178074,12,39,239.53661714075133,,included,,0.510583
campaign-20260814-v4__API-04__a2__openai-codex__gpt-5.6-terra,API-04,2,openai-codex,gpt-5.6-terra,True,1.0,True,True,True,,21238,129024,0,7192,3338,157454,12,42,179.16952309012413,,included,,0.1545848
campaign-20260814-v4__API-04__a2__openai-codex__gpt-daybreak-blue-latest,API-04,2,openai-codex,gpt-daybreak-blue-latest,True,1.0,True,True,True,,20030,167105,0,9344,4733,196479,13,64,211.53880422608927,,included,,0.4640225
campaign-20260814-v4__API-04__a2__opencode-go__deepseek-v4-flash,API-04,2,opencode-go,deepseek-v4-flash,True,1.0,True,True,True,,24063,678144,0,38646,21730,740853,22,57,344.4400527961552,,unknown,,0.0160885032
campaign-20260814-v4__API-04__a2__opencode-go__deepseek-v4-pro,API-04,2,opencode-go,deepseek-v4-pro,True,1.0,True,True,True,,18311,289536,0,21444,13465,329291,15,32,281.3817933429964,,unknown,,0.027671133
campaign-20260814-v4__API-04__a3__openai-codex__gpt-5.6-luna,API-04,3,openai-codex,gpt-5.6-luna,False,0.5,True,True,True,,28745,199168,0,9049,3341,236962,16,51,263.98809687327594,,included,,0.02059116
campaign-20260814-v4__API-04__a3__openai-codex__gpt-5.6-sol,API-04,3,openai-codex,gpt-5.6-sol,True,1.0,True,True,True,,47757,132096,0,8915,3312,188768,13,51,259.0250444142148,,included,,0.572283
campaign-20260814-v4__API-04__a3__openai-codex__gpt-5.6-terra,API-04,3,openai-codex,gpt-5.6-terra,True,1.0,True,True,True,,32785,121344,0,5647,2353,159776,13,50,149.51646939804778,,included,,0.1576028
campaign-20260814-v4__API-04__a3__openai-codex__gpt-daybreak-blue-latest,API-04,3,openai-codex,gpt-daybreak-blue-latest,True,1.0,True,True,True,,21594,234091,0,9795,3470,265480,17,60,327.58418820099905,,included,,0.5188655
campaign-20260814-v4__API-04__a3__opencode-go__deepseek-v4-flash,API-04,3,opencode-go,deepseek-v4-flash,True,1.0,True,True,True,,28442,589824,0,24032,12994,642298,26,71,311.6044996539131,,unknown,,0.0123623472
campaign-20260814-v4__API-04__a3__opencode-go__deepseek-v4-pro,API-04,3,opencode-go,deepseek-v4-pro,False,0.5,True,True,True,,20323,631168,0,36612,25774,688103,20,34,474.8159017129801,,unknown,,0.042980929
campaign-20260814-v4__API-05__a1__openai-codex__gpt-5.6-luna,API-05,1,openai-codex,gpt-5.6-luna,True,1.0,True,True,True,,28094,161280,0,7782,1780,197156,14,62,202.6794748310931,,included,,0.0181828
campaign-20260814-v4__API-05__a1__openai-codex__gpt-5.6-sol,API-05,1,openai-codex,gpt-5.6-sol,True,1.0,True,True,True,,21544,103936,0,7248,2400,132728,12,48,202.23061554180458,,included,,0.377128
campaign-20260814-v4__API-05__a1__openai-codex__gpt-5.6-terra,API-05,1,openai-codex,gpt-5.6-terra,True,1.0,True,True,True,,27542,203264,0,6740,2267,237546,17,56,182.63811556482688,,included,,0.1766168
campaign-20260814-v4__API-05__a1__openai-codex__gpt-daybreak-blue-latest,API-05,1,openai-codex,gpt-daybreak-blue-latest,True,1.0,True,True,True,,18129,141688,0,7407,2558,167224,13,54,168.77302764588967,,included,,0.383699
campaign-20260814-v4__API-05__a1__opencode-go__deepseek-v4-flash,API-05,1,opencode-go,deepseek-v4-flash,True,1.0,True,True,True,,18280,338944,0,22557,11763,379781,18,51,232.46897491579875,,unknown,,0.0098242032
campaign-20260814-v4__API-05__a1__opencode-go__deepseek-v4-pro,API-05,1,opencode-go,deepseek-v4-pro,True,1.0,True,True,True,,,,,,,,13,31,249.37741446401924,,,,0.0
campaign-20260814-v4__BUG-01__a1__openai-codex__gpt-5.6-luna,BUG-01,1,openai-codex,gpt-5.6-luna,True,1.0,True,True,True,,22211,128000,0,6081,1983,156292,13,43,175.11961078085005,,included,,0.0142994
campaign-20260814-v4__BUG-01__a1__openai-codex__gpt-5.6-sol,BUG-01,1,openai-codex,gpt-5.6-sol,True,1.0,True,True,True,,40488,166912,0,7607,3221,215007,15,62,275.66981968982145,,included,,0.514106
campaign-20260814-v4__BUG-01__a1__openai-codex__gpt-5.6-terra,BUG-01,1,openai-codex,gpt-5.6-terra,True,1.0,True,True,True,,20669,110592,0,5364,2344,136625,12,46,162.31253893394023,,included,,0.1278244
campaign-20260814-v4__BUG-01__a1__openai-codex__gpt-daybreak-blue-latest,BUG-01,1,openai-codex,gpt-daybreak-blue-latest,True,1.0,True,True,True,,16601,163565,0,6333,2321,186499,15,46,138.8694084342569,,included,,0.3547775
campaign-20260814-v4__BUG-01__a1__opencode-go__deepseek-v4-flash,BUG-01,1,opencode-go,deepseek-v4-flash,True,1.0,True,True,True,,14535,482944,0,25190,13783,522669,22,60,271.5557589549571,,unknown,,0.0104403432
campaign-20260814-v4__BUG-01__a1__opencode-go__deepseek-v4-pro,BUG-01,1,opencode-go,deepseek-v4-pro,True,1.0,True,True,True,,14579,140032,0,10497,6558,165108,12,22,159.29025034978986,,unknown,,0.015981871
campaign-20260814-v4__BUG-02__a1__openai-codex__gpt-5.6-luna,BUG-02,1,openai-codex,gpt-5.6-luna,True,1.0,True,True,True,,22064,114176,0,5824,2212,142064,14,40,168.23832107661292,,included,,0.01368512
campaign-20260814-v4__BUG-02__a1__openai-codex__gpt-5.6-sol,BUG-02,1,openai-codex,gpt-5.6-sol,True,1.0,True,True,True,,37054,138240,0,7789,2886,183083,15,53,243.33093233872205,,included,,0.48806
campaign-20260814-v4__BUG-02__a1__openai-codex__gpt-5.6-terra,BUG-02,1,openai-codex,gpt-5.6-terra,True,1.0,True,True,True,,27925,88576,0,3731,1248,120232,13,49,121.84951384365559,,included,,0.1183372
campaign-20260814-v4__BUG-02__a1__openai-codex__gpt-daybreak-blue-latest,BUG-02,1,openai-codex,gpt-daybreak-blue-latest,True,1.0,True,True,True,,18772,156005,0,7831,2901,182608,15,52,169.6197593268007,,included,,0.4067925
campaign-20260814-v4__BUG-02__a1__opencode-go__deepseek-v4-flash,BUG-02,1,opencode-go,deepseek-v4-flash,False,0.0,True,True,True,,,,,,,,1,0,7.887899599969387,,,,0.0
campaign-20260814-v4__BUG-02__a1__opencode-go__deepseek-v4-pro,BUG-02,1,opencode-go,deepseek-v4-pro,True,1.0,True,True,True,,17173,358016,0,22008,10818,397197,23,43,379.6582390279509,,unknown,,0.027915023
campaign-20260814-v4__BUG-03__a1__openai-codex__gpt-5.6-luna,BUG-03,1,openai-codex,gpt-5.6-luna,True,1.0,True,True,True,,21650,114688,0,5468,1151,141806,13,41,144.59054873604327,,included,,0.01318536
campaign-20260814-v4__BUG-03__a1__openai-codex__gpt-5.6-sol,BUG-03,1,openai-codex,gpt-5.6-sol,True,1.0,True,True,True,,37880,181760,0,6854,2086,226494,18,58,216.2116943881847,,included,,0.4859
campaign-20260814-v4__BUG-03__a1__openai-codex__gpt-5.6-terra,BUG-03,1,openai-codex,gpt-5.6-terra,True,1.0,True,True,True,,19395,117760,0,3987,1247,141142,14,52,144.60407014098018,,included,,0.110186
campaign-20260814-v4__BUG-03__a1__openai-codex__gpt-daybreak-blue-latest,BUG-03,1,openai-codex,gpt-daybreak-blue-latest,True,1.0,True,True,True,,15106,130196,0,5605,1701,150907,13,41,128.6857442278415,,included,,0.308778
campaign-20260814-v4__BUG-03__a1__opencode-go__deepseek-v4-flash,BUG-03,1,opencode-go,deepseek-v4-flash,True,1.0,True,True,True,,21445,385024,0,22372,11405,428841,21,47,279.42778139701113,,unknown,,0.0103445272
campaign-20260814-v4__BUG-03__a1__opencode-go__deepseek-v4-pro,BUG-03,1,opencode-go,deepseek-v4-pro,True,1.0,True,True,True,,14477,298368,0,17662,9591,330507,19,35,242.53566833678633,,unknown,,0.022745019
campaign-20260814-v4__BUG-03__a2__openai-codex__gpt-5.6-luna,BUG-03,2,openai-codex,gpt-5.6-luna,True,1.0,True,True,True,,28001,167424,0,7999,1611,203424,16,53,219.47806806396693,,included,,0.01854748
campaign-20260814-v4__BUG-03__a2__openai-codex__gpt-5.6-sol,BUG-03,2,openai-codex,gpt-5.6-sol,True,1.0,True,True,True,,33031,129536,0,6325,1938,168892,14,47,299.22555892309174,,included,,0.419673
campaign-20260814-v4__BUG-03__a2__openai-codex__gpt-5.6-terra,BUG-03,2,openai-codex,gpt-5.6-terra,True,1.0,True,True,True,,26891,92160,0,4996,1449,124047,12,39,149.1930658458732,,included,,0.132166
campaign-20260814-v4__BUG-03__a2__openai-codex__gpt-daybreak-blue-latest,BUG-03,2,openai-codex,gpt-daybreak-blue-latest,True,1.0,True,True,True,,15165,109859,0,5656,1802,130680,12,40,135.0950028640218,,included,,0.3004345
campaign-20260814-v4__BUG-03__a2__opencode-go__deepseek-v4-flash,BUG-03,2,opencode-go,deepseek-v4-flash,True,1.0,True,True,True,,17916,281856,0,19332,9852,319104,17,33,218.59132013982162,,unknown,,0.0087103968
campaign-20260814-v4__BUG-03__a2__opencode-go__deepseek-v4-pro,BUG-03,2,opencode-go,deepseek-v4-pro,True,1.0,True,True,True,,21360,235264,0,15685,8461,272309,15,35,254.11185467103496,,unknown,,0.023790382
campaign-20260814-v4__BUG-03__a3__openai-codex__gpt-5.6-luna,BUG-03,3,openai-codex,gpt-5.6-luna,True,1.0,True,True,True,,27217,152576,0,6919,1722,186712,15,51,185.86912652058527,,included,,0.01679772
campaign-20260814-v4__BUG-03__a3__openai-codex__gpt-5.6-sol,BUG-03,3,openai-codex,gpt-5.6-sol,True,1.0,True,True,True,,60230,161792,0,8304,2567,230326,18,53,273.6195787722245,,included,,0.631166
campaign-20260814-v4__BUG-03__a3__openai-codex__gpt-5.6-terra,BUG-03,3,openai-codex,gpt-5.6-terra,True,1.0,True,True,True,,16681,88576,0,3931,1189,109188,11,39,115.18226995691657,,included,,0.0982492
campaign-20260814-v4__BUG-03__a3__openai-codex__gpt-daybreak-blue-latest,BUG-03,3,openai-codex,gpt-daybreak-blue-latest,True,1.0,True,True,True,,14191,97495,0,5088,1273,116774,11,36,123.76082954602316,,included,,0.2723425
campaign-20260814-v4__BUG-03__a3__opencode-go__deepseek-v4-flash,BUG-03,3,opencode-go,deepseek-v4-flash,True,1.0,True,True,True,,17456,344192,0,22474,11978,384122,18,32,247.22939229523763,,unknown,,0.0097002976
campaign-20260814-v4__BUG-03__a3__opencode-go__deepseek-v4-pro,BUG-03,3,opencode-go,deepseek-v4-pro,True,1.0,True,True,True,,15621,227072,0,15248,7259,257941,18,37,238.51283829612657,,unknown,,0.020884031
campaign-20260814-v4__BUG-04__a1__openai-codex__gpt-5.6-luna,BUG-04,1,openai-codex,gpt-5.6-luna,True,1.0,True,True,True,,45362,148992,0,8528,2223,202882,15,48,231.70840802416205,,included,,0.02228584
campaign-20260814-v4__BUG-04__a1__openai-codex__gpt-5.6-sol,BUG-04,1,openai-codex,gpt-5.6-sol,True,1.0,True,True,True,,47848,274432,0,9848,3435,332128,22,75,319.02474068896845,,included,,0.671896
campaign-20260814-v4__BUG-04__a1__openai-codex__gpt-5.6-terra,BUG-04,1,openai-codex,gpt-5.6-terra,True,1.0,True,True,True,,46159,171008,0,7726,3469,224893,16,57,216.93623635359108,,included,,0.2192316
campaign-20260814-v4__BUG-04__a1__openai-codex__gpt-daybreak-blue-latest,BUG-04,1,openai-codex,gpt-daybreak-blue-latest,True,1.0,True,True,True,,15816,140737,0,5588,2114,162141,13,30,159.21471452806145,,included,,0.3170885
campaign-20260814-v4__BUG-04__a1__opencode-go__deepseek-v4-flash,BUG-04,1,opencode-go,deepseek-v4-flash,True,1.0,True,True,True,,32593,1061120,0,33735,16010,1127448,32,68,447.22796821175143,,unknown,,0.016979956
campaign-20260814-v4__BUG-04__a1__opencode-go__deepseek-v4-pro,BUG-04,1,opencode-go,deepseek-v4-pro,False,0.0,True,True,True,,,,,,,,1,0,10.238321721088141,,,,0.0
campaign-20260814-v4__BUG-05__a1__openai-codex__gpt-5.6-luna,BUG-05,1,openai-codex,gpt-5.6-luna,True,1.0,True,True,True,,30540,184832,0,7932,2047,223304,18,57,213.81613096268848,,included,,0.01932304
campaign-20260814-v4__BUG-05__a1__openai-codex__gpt-5.6-sol,BUG-05,1,openai-codex,gpt-5.6-sol,False,0.5,True,True,True,,48774,300032,0,10718,3958,359524,22,69,356.26818777807057,,included,,0.715426
campaign-20260814-v4__BUG-05__a1__openai-codex__gpt-5.6-terra,BUG-05,1,openai-codex,gpt-5.6-terra,False,0.5,True,True,True,,42071,166400,0,8142,3460,216613,17,58,220.3715162249282,,included,,0.215126
campaign-20260814-v4__BUG-05__a1__openai-codex__gpt-daybreak-blue-latest,BUG-05,1,openai-codex,gpt-daybreak-blue-latest,True,1.0,True,True,True,,19621,199245,0,8429,2992,227295,16,55,197.2607801198028,,included,,0.4505975
campaign-20260814-v4__BUG-05__a1__opencode-go__deepseek-v4-flash,BUG-05,1,opencode-go,deepseek-v4-flash,False,0.0,True,True,True,,,,,,,,1,0,9.389165794942528,,,,0.0
campaign-20260814-v4__BUG-05__a1__opencode-go__deepseek-v4-pro,BUG-05,1,opencode-go,deepseek-v4-pro,True,1.0,True,True,True,,19103,366848,0,23068,14838,409019,19,41,309.59003820316866,,unknown,,0.029708789
campaign-20260814-v4__CLOUD-01__a1__openai-codex__gpt-5.6-luna,CLOUD-01,1,openai-codex,gpt-5.6-luna,True,6,True,True,True,,50310,297984,0,10933,2011,359227,22,65,292.01931472774595,,included,,0.02914128
campaign-20260814-v4__CLOUD-01__a1__openai-codex__gpt-5.6-sol,CLOUD-01,1,openai-codex,gpt-5.6-sol,True,6,True,True,True,,43608,173056,0,8511,2165,225175,14,64,246.1897406950593,,included,,0.559898
campaign-20260814-v4__CLOUD-01__a1__openai-codex__gpt-5.6-terra,CLOUD-01,1,openai-codex,gpt-5.6-terra,True,6,True,True,True,,23397,143872,0,6721,2650,173990,13,57,188.64818191388622,,included,,0.1562204
campaign-20260814-v4__CLOUD-01__a1__openai-codex__gpt-daybreak-blue-latest,CLOUD-01,1,openai-codex,gpt-daybreak-blue-latest,True,6,True,True,True,,24938,309238,0,11944,3113,346120,19,66,273.6462172376923,,included,,0.637629
campaign-20260814-v4__CLOUD-01__a1__opencode-go__deepseek-v4-flash,CLOUD-01,1,opencode-go,deepseek-v4-flash,False,2,True,True,True,,,,,,,,1,0,9.995403079781681,,,,0.0
campaign-20260814-v4__CLOUD-01__a1__opencode-go__deepseek-v4-pro,CLOUD-01,1,opencode-go,deepseek-v4-pro,True,6,True,True,True,,21316,475904,0,26321,14871,523541,20,45,352.00651484681293,,unknown,,0.033896882
campaign-20260814-v4__CLOUD-02__a1__openai-codex__gpt-5.6-luna,CLOUD-02,1,openai-codex,gpt-5.6-luna,True,6,True,True,True,,48308,174592,0,8852,2033,231752,17,49,236.09236337197945,,included,,0.02377584
campaign-20260814-v4__CLOUD-02__a1__openai-codex__gpt-5.6-sol,CLOUD-02,1,openai-codex,gpt-5.6-sol,True,6,True,True,True,,54835,240640,0,9017,2198,304492,19,74,279.49314575316384,,included,,0.665005
campaign-20260814-v4__CLOUD-02__a1__openai-codex__gpt-5.6-terra,CLOUD-02,1,openai-codex,gpt-5.6-terra,True,6,True,True,True,,24289,111616,0,5076,1457,140981,12,44,138.3042391790077,,included,,0.1318132
campaign-20260814-v4__CLOUD-02__a1__openai-codex__gpt-daybreak-blue-latest,CLOUD-02,1,openai-codex,gpt-daybreak-blue-latest,True,6,True,True,True,,20257,266215,0,8792,2157,295264,20,69,191.7596404561773,,included,,0.4981525
campaign-20260814-v4__CLOUD-02__a1__opencode-go__deepseek-v4-flash,CLOUD-02,1,opencode-go,deepseek-v4-flash,True,6,True,True,True,,22417,416384,0,30980,11352,469781,18,54,255.6036894111894,,unknown,,0.0129786552
campaign-20260814-v4__CLOUD-02__a1__opencode-go__deepseek-v4-pro,CLOUD-02,1,opencode-go,deepseek-v4-pro,True,6,True,True,True,,17644,220800,0,19100,11255,257544,14,62,388.99740682775155,,unknown,,0.02509254
campaign-20260814-v4__CLOUD-02__a2__openai-codex__gpt-5.6-luna,CLOUD-02,2,openai-codex,gpt-5.6-luna,True,6,True,True,True,,58306,383488,0,10171,1773,451965,27,82,266.2655380400829,,included,,0.03153616
campaign-20260814-v4__CLOUD-02__a2__openai-codex__gpt-5.6-sol,CLOUD-02,2,openai-codex,gpt-5.6-sol,True,6,True,True,True,,43216,116736,0,7036,1592,166988,13,48,237.72572855697945,,included,,0.485528
campaign-20260814-v4__CLOUD-02__a2__openai-codex__gpt-5.6-terra,CLOUD-02,2,openai-codex,gpt-5.6-terra,True,6,True,True,True,,35655,317952,0,7448,2235,361055,23,90,229.73064442910254,,included,,0.2242764
campaign-20260814-v4__CLOUD-02__a2__openai-codex__gpt-daybreak-blue-latest,CLOUD-02,2,openai-codex,gpt-daybreak-blue-latest,True,6,True,True,True,,20090,148052,0,7666,1229,175808,12,41,162.08784273266792,,included,,0.404456
campaign-20260814-v4__CLOUD-02__a2__opencode-go__deepseek-v4-flash,CLOUD-02,2,opencode-go,deepseek-v4-flash,True,6,True,True,True,,13375,530688,0,28673,8145,572736,25,44,341.16388215869665,,unknown,,0.0113868664
campaign-20260814-v4__CLOUD-02__a2__opencode-go__deepseek-v4-pro,CLOUD-02,2,opencode-go,deepseek-v4-pro,True,6,True,True,True,,19410,209408,0,15262,7658,244080,14,55,214.54294147808105,,unknown,,0.022480394
campaign-20260814-v4__CLOUD-02__a3__openai-codex__gpt-5.6-luna,CLOUD-02,3,openai-codex,gpt-5.6-luna,True,6,True,True,True,,25201,158208,0,6393,1262,189802,14,45,175.40209982637316,,included,,0.01587596
campaign-20260814-v4__CLOUD-02__a3__openai-codex__gpt-5.6-sol,CLOUD-02,3,openai-codex,gpt-5.6-sol,True,6,True,True,True,,40279,174080,0,6852,1747,221211,17,58,208.03289074497297,,included,,0.493995
campaign-20260814-v4__CLOUD-02__a3__openai-codex__gpt-5.6-terra,CLOUD-02,3,openai-codex,gpt-5.6-terra,True,6,True,True,True,,23949,139776,0,6091,1401,169816,13,53,182.59129319805652,,included,,0.1489452
campaign-20260814-v4__CLOUD-02__a3__openai-codex__gpt-daybreak-blue-latest,CLOUD-02,3,openai-codex,gpt-daybreak-blue-latest,True,6,True,True,True,,19895,216604,0,9052,2269,245551,17,49,199.2770658871159,,included,,0.479337
campaign-20260814-v4__CLOUD-02__a3__opencode-go__deepseek-v4-flash,CLOUD-02,3,opencode-go,deepseek-v4-flash,True,6,True,True,True,,12896,499328,0,27663,10918,539887,22,76,387.19637661380693,,unknown,,0.0109491984
campaign-20260814-v4__CLOUD-02__a3__opencode-go__deepseek-v4-pro,CLOUD-02,3,opencode-go,deepseek-v4-pro,False,1,True,True,True,,,,,,,,1,0,8.920073476154357,,,,0.0
campaign-20260814-v4__CLOUD-03__a1__openai-codex__gpt-5.6-luna,CLOUD-03,1,openai-codex,gpt-5.6-luna,True,7,True,True,True,,34758,272896,0,10192,2489,317846,20,61,282.5752380662598,,included,,0.02463992
campaign-20260814-v4__CLOUD-03__a1__openai-codex__gpt-5.6-sol,CLOUD-03,1,openai-codex,gpt-5.6-sol,True,7,True,True,True,,49266,194048,0,10912,3303,254226,16,71,309.3614031220786,,included,,0.670714
campaign-20260814-v4__CLOUD-03__a1__openai-codex__gpt-5.6-terra,CLOUD-03,1,openai-codex,gpt-5.6-terra,True,7,True,True,True,,19634,112128,0,4601,1879,136363,11,45,128.83353367028758,,included,,0.1169056
campaign-20260814-v4__CLOUD-03__a1__openai-codex__gpt-daybreak-blue-latest,CLOUD-03,1,openai-codex,gpt-daybreak-blue-latest,True,7,True,True,True,,21791,265214,0,10388,2236,297393,19,59,236.83775338018313,,included,,0.553202
campaign-20260814-v4__CLOUD-03__a1__opencode-go__deepseek-v4-flash,CLOUD-03,1,opencode-go,deepseek-v4-flash,True,7,True,True,True,,17575,300672,0,18870,9144,337117,17,36,211.9527573250234,,unknown,,0.0085859816
campaign-20260814-v4__CLOUD-03__a1__opencode-go__deepseek-v4-pro,CLOUD-03,1,opencode-go,deepseek-v4-pro,True,7,True,True,True,,23687,361344,0,20692,11898,405723,17,37,277.5445802551694,,unknown,,0.029615757
campaign-20260814-v4__DATA-01__a1__openai-codex__gpt-5.6-luna,DATA-01,1,openai-codex,gpt-5.6-luna,True,1.0,True,True,True,,34557,336384,0,8732,2711,379673,24,58,239.96834510192275,,included,,0.02411748
campaign-20260814-v4__DATA-01__a1__openai-codex__gpt-5.6-sol,DATA-01,1,openai-codex,gpt-5.6-sol,False,0.0,True,True,True,,43493,178688,0,8417,2766,230598,16,51,236.91406809492037,,included,,0.559319
campaign-20260814-v4__DATA-01__a1__openai-codex__gpt-5.6-terra,DATA-01,1,openai-codex,gpt-5.6-terra,False,0.0,True,True,True,,44685,238592,0,7506,2845,290783,20,53,231.8401149371639,,included,,0.2271604
campaign-20260814-v4__DATA-01__a1__openai-codex__gpt-daybreak-blue-latest,DATA-01,1,openai-codex,gpt-daybreak-blue-latest,False,0.0,True,True,True,,20083,241831,0,8563,2841,270477,18,65,194.21632592007518,,included,,0.4782205
campaign-20260814-v4__DATA-01__a1__opencode-go__deepseek-v4-flash,DATA-01,1,opencode-go,deepseek-v4-flash,False,0.0,True,True,True,,17268,830080,0,39057,22591,886405,24,60,370.88431220315397,,unknown,,0.015677704
